Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability
2025-07-18,14:25:00,NEWBURY,Earthwatch,1m,2,4.5,5.7,0.5742615
2025-07-18,14:25:00,NEWBURY,Nakaaha,1m,1,34.0,30.17,0.008201447
2025-07-18,14:25:00,NEWBURY,Bownder,1m,9,6.5,8.24,0.43089017
2025-07-18,14:25:00,NEWBURY,Darn Hot Mystery,1m,8,7.0,8.09,0.337917
2025-07-18,14:25:00,NEWBURY,Geo,1m,6,7.5,9.0,0.35597447
2025-07-18,14:25:00,NEWBURY,Lady Of The Isles,1m,4,8.5,9.6,0.39127824
2025-07-18,14:25:00,NEWBURY,Dollyana,1m,3,9.0,10.0,0.07363944
2025-07-18,14:25:00,NEWBURY,Warrnambool,1m,5,9.5,9.8,0.11685668
2025-07-18,14:25:00,NEWBURY,Thiscouldbefun,1m,7,10.0,12.0,0.18986483
2025-07-18,14:25:00,NEWBURY,Spirit Lead Me,1m,10,21.0,27.05,0.08160788
2025-07-18,15:00:00,NEWBURY,Exclusive Code,7f,4,4.33,5.2,0.80745703
2025-07-18,15:00:00,NEWBURY,Kuu,7f,8,81.0,200.0,0.063958235
2025-07-18,15:00:00,NEWBURY,Karakula Dancer,7f,10,126.0,216.71,0.109034695
2025-07-18,15:00:00,NEWBURY,Mr Writer,7f,5,5.0,5.34,0.64877754
2025-07-18,15:00:00,NEWBURY,Ruler Of Time,7f,2,5.0,5.9,0.62438756
2025-07-18,15:00:00,NEWBURY,Morbeh,7f,9,6.5,7.28,0.4348163
2025-07-18,15:00:00,NEWBURY,Lost Signal,7f,3,8.5,8.4,0.276232
2025-07-18,15:00:00,NEWBURY,Gewan,7f,1,10.0,10.37,0.31466267
2025-07-18,15:00:00,NEWBURY,Sergeant Chaos,7f,11,15.0,17.93,0.16934992
2025-07-18,15:00:00,NEWBURY,Plan C,7f,7,17.0,22.0,0.21585341
2025-07-18,15:00:00,NEWBURY,Cashbox,7f,6,41.0,70.0,0.0364711
2025-07-18,15:35:00,NEWBURY,Sing The Blues,6f,5,2.0,2.16,0.8738757
2025-07-18,15:35:00,NEWBURY,Real Romance,6f,11,29.0,39.26,0.041074473
2025-07-18,15:35:00,NEWBURY,Affran,6f,6,8.5,11.8,0.34099826
2025-07-18,15:35:00,NEWBURY,Entailed,6f,9,9.5,10.65,0.4874751
2025-07-18,15:35:00,NEWBURY,Tarot,6f,2,10.0,13.66,0.5301544
2025-07-18,15:35:00,NEWBURY,Moonshine,6f,3,12.0,16.26,0.28407663
