Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability
2025-07-18,14:25:00,NEWBURY,Earthwatch,1m,2,4.5,5.7,0.5917342
2025-07-18,14:25:00,NEWBURY,Nakaaha,1m,1,34.0,30.17,0.2036096
2025-07-18,14:25:00,NEWBURY,Bownder,1m,9,6.5,8.24,0.60737634
2025-07-18,14:25:00,NEWBURY,Darn Hot Mystery,1m,8,7.0,8.09,0.45863217
2025-07-18,14:25:00,NEWBURY,Geo,1m,6,7.5,9.0,0.4505335
2025-07-18,14:25:00,NEWBURY,Lady Of The Isles,1m,4,8.5,9.6,0.42849907
2025-07-18,14:25:00,NEWBURY,Dollyana,1m,3,9.0,10.0,0.19997989
2025-07-18,14:25:00,NEWBURY,Warrnambool,1m,5,9.5,9.8,0.2483489
2025-07-18,14:25:00,NEWBURY,Thiscouldbefun,1m,7,10.0,12.0,0.18610981
2025-07-18,14:25:00,NEWBURY,Spirit Lead Me,1m,10,21.0,27.05,0.10291647
2025-07-18,15:00:00,NEWBURY,Exclusive Code,7f,4,4.33,5.2,0.7539521
2025-07-18,15:00:00,NEWBURY,Kuu,7f,8,81.0,200.0,0.08506714
2025-07-18,15:00:00,NEWBURY,Karakula Dancer,7f,10,126.0,216.71,0.15464242
2025-07-18,15:00:00,NEWBURY,Mr Writer,7f,5,5.0,5.34,0.65630865
2025-07-18,15:00:00,NEWBURY,Ruler Of Time,7f,2,5.0,5.9,0.52095795
2025-07-18,15:00:00,NEWBURY,Morbeh,7f,9,6.5,7.28,0.3875671
2025-07-18,15:00:00,NEWBURY,Lost Signal,7f,3,8.5,8.4,0.27132258
2025-07-18,15:00:00,NEWBURY,Gewan,7f,1,10.0,10.37,0.26736513
2025-07-18,15:00:00,NEWBURY,Sergeant Chaos,7f,11,15.0,17.93,0.23568805
2025-07-18,15:00:00,NEWBURY,Plan C,7f,7,17.0,22.0,0.24866426
2025-07-18,15:00:00,NEWBURY,Cashbox,7f,6,41.0,70.0,0.046739742
2025-07-18,15:35:00,NEWBURY,Sing The Blues,6f,5,2.0,2.16,0.9004402
2025-07-18,15:35:00,NEWBURY,Real Romance,6f,11,29.0,39.26,0.22561249
2025-07-18,15:35:00,NEWBURY,Affran,6f,6,8.5,11.8,0.24071506
2025-07-18,15:35:00,NEWBURY,Entailed,6f,9,9.5,10.65,0.40197742
2025-07-18,15:35:00,NEWBURY,Tarot,6f,2,10.0,13.66,0.45640445
2025-07-18,15:35:00,NEWBURY,Moonshine,6f,3,12.0,16.26,0.3326106
2025-07-18,15:35:00,NEWBURY,Eleanor Shelby,6f,7,15.0,17.4,0.22646263
2025-07-18,15:35:00,NEWBURY,Sapphire Steps,6f,1,15.0,21.01,0.36119655
2025-07-18,15:35:00,NEWBURY,Wondrous,6f,10,23.0,27.0,0.21082406
2025-07-18,15:35:00,NEWBURY,Steelblue Ladybird,6f,8,26.0,37.35,0.22779271
2025-07-18,15:35:00,NEWBURY,Gnocchi,6f,4,26.0,33.35,0.11693813
2025-07-18,16:10:00,NEWBURY,Wise Approach,6f,1,2.1,2.37,0.92261314
2025-07-18,16:10:00,NEWBURY,Rock On Thunder,6f,2,4.0,4.0,0.73270786
2025-07-18,16:10:00,NEWBURY,Amorim,6f,3,5.0,4.83,0.60096085
2025-07-18,16:10:00,NEWBURY,Kolkata Knight,6f,5,12.0,12.57,0.37888274
2025-07-18,16:10:00,NEWBURY,Do Bronxs,6f,4,13.0,17.5,0.30653787
2025-07-18,16:45:00,NEWBURY,Orchard Keeper,1m5½f,3,3.0,3.47,0.7499783
2025-07-18,16:45:00,NEWBURY,Typical Woman,1m5½f,6,4.5,4.9,0.5387309
2025-07-18,16:45:00,NEWBURY,Dancingwithmyself,1m5½f,5,6.0,6.6,0.55819225
